"","batter","PA","OPS","year","fullname","birthdate"
"42",40007,430,0.791373,2012,"Michael Morse","1982-03-22"
"43",40112,129,0.66056,2012,"Donnie Murphy","1983-03-10"
"44",40216,73,0.754831,2012,"Dioner Navarro","1984-02-09"
"45",48633,414,0.843204,2007,"Mark Reynolds","1983-08-03"
"46",48892,8,1.5,2007,"Seth Smith","1982-09-30"
"47",49136,13,1.02098,2007,"Eugenio Velez","1982-05-16"
"48",49341,355,0.83668,2007,"Yunel Escobar","1982-11-02"
"49",51985,152,0.647181,2007,"Justin Upton","1987-08-25"
"50",52567,27,0.796296,2007,"Justin Maxwell","1983-11-06"
"51",499,598,0.76003,2006,"Juan Encarnacion","1976-03-08"
"52",508,204,0.841933,2006,"Derrek Lee","1975-09-06"
"53",1079,177,0.709315,2006,"Ben Broussard","1976-09-24"
"54",1084,452,0.701842,2006,"Coco Crisp","1979-11-01"
"55",31483,685,0.942265,2009,"Miguel Cabrera","1983-04-18"
"56",31485,692,0.903752,2010,"Adrian Gonzalez","1982-05-08"
"57",45492,699,0.757774,2008,"Chris Young","1983-09-05"
"58",511,631,0.813839,2006,"Mike Lowell","1974-02-24"
"59",515,503,0.810966,2006,"Kevin Millar","1971-09-24"
"60",31369,638,0.786182,2007,"J.J. Hardy","1982-08-19"
"61",31370,566,0.891555,2007,"Corey Hart","1982-03-24"
"62",31366,681,1.01281,2007,"Prince Fielder","1984-05-09"
"63",31360,307,0.651898,2007,"Scott Thorman","1982-01-06"
"64",31349,608,0.831401,2007,"Kelly Johnson","1982-02-22"
"65",31351,632,0.803196,2007,"Adam LaRoche","1979-11-06"
"66",31345,696,0.781569,2007,"Jeff Francoeur","1984-01-08"
"67",31322,363,0.661592,2007,"Chris Burke","1980-03-11"
"68",31316,56,0.548611,2007,"Jason Ellison","1978-04-04"
"69",31299,187,0.666069,2007,"Ryan Langerhans","1980-02-20"
"70",31299,52,0.283217,2007,"Ryan Langerhans","1980-02-20"
"71",31042,127,0.653235,2007,"Jason Wood","1969-12-16"
"72",45438,474,0.800624,2006,"Ian Kinsler","1982-06-22"
"73",45442,61,0.689403,2006,"Kevin Kouzmanoff","1981-07-25"
"74",45445,15,0.420513,2006,"Mitch Maier","1982-06-30"
"75",45446,542,0.798714,2006,"Nick Markakis","1983-11-17"
"76",1260,141,0.697102,2004,"Carl Everett","1971-06-03"
"77",1262,209,0.833051,2004,"Todd Greene","1971-05-08"
"78",1268,167,0.938863,2004,"Todd Hollandsworth","1973-04-20"
"79",1274,312,0.86656,2004,"Mike Lamb","1975-08-09"
"80",1303,94,0.637923,2004,"Carlos Baerga","1968-11-04"
"81",32473,31,0.163441,2006,"Chris Barnwell","1979-03-01"
"82",43032,110,0.785606,2004,"Chris Snyder","1981-02-12"
"83",41401,78,0.669872,2004,"Humberto Quintero","1979-08-02"
"84",40505,174,0.751326,2004,"Miguel Ojeda","1975-01-29"
"85",39185,509,0.727001,2004,"Kazuo Matsui","1975-10-23"
"86",38734,192,0.667827,2004,"Hector Luna","1980-02-01"
"87",37894,123,0.696383,2004,"Jeff Keppinger","1980-04-21"
"88",37743,177,0.665334,2004,"Matt Kata","1978-03-14"
"89",37391,121,0.603471,2004,"Maicer Izturis","1980-09-12"
"90",36288,290,0.698421,2004,"Nick Green","1978-09-10"
"91",36286,119,0.507434,2004,"Andy Green","1977-07-07"
"92",36153,351,0.799353,2004,"Luis Gonzalez","1979-06-26"
"93",34698,114,0.645762,2004,"Doug DeVore","1977-12-14"
"94",34382,49,0.742288,2004,"Brian Dallimore","1973-11-15"
"95",33865,71,0.495238,2004,"Ryan Church","1978-10-14"
"96",31372,47,0.563051,2004,"Dave Krynzel","1981-11-07"
"97",31391,151,0.684415,2004,"Yadier Molina","1982-07-13"
"98",18260,577,0.948126,1989,"Lonnie Smith","1955-12-22"
"99",21632,42,0.606821,1988,"Dave Engle","1956-11-30"
"100",17978,668,0.732382,1987,"Scott Fletcher","1958-07-30"
"101",18104,682,0.74138,1986,"Ryne Sandberg","1959-09-18"
"102",30929,247,0.681223,1989,"Mookie Wilson","1956-02-09"
"103",29919,105,0.552059,1989,"Gary Thurman","1964-11-12"
"104",28618,9,0.444444,1989,"Jeff Schulz","1961-06-02"
"105",28040,712,0.718345,1989,"Cal Ripken Jr.","1960-08-24"
"106",30042,165,0.598339,1981,"Alex Trevino","1957-08-26"
"107",18107,266,0.702773,1987,"Don Slaught","1958-09-11"
"108",18075,4,0,1987,"Keith Hughes","1963-09-12"
"109",18098,232,0.868129,1987,"Geno Petralli","1959-09-25"
"110",18071,508,0.74823,1987,"Mel Hall","1960-09-16"
"111",18070,165,0.528146,1987,"Rich Gedman","1959-09-26"
"112",27672,128,0.604567,1981,"Luis Pujols","1955-11-18"
"113",17916,416,0.753046,1988,"Joe Orsulak","1962-05-31"
"114",17951,304,0.677736,1978,"Lance Parrish","1956-06-15"
"115",17056,4,1,1990,"Carlos Garcia","1967-10-15"
"116",22707,30,0.654762,1982,"Lorenzo Gray","1958-03-04"
"117",24843,317,0.640481,1987,"Tim Laudner","1958-06-07"
"118",17981,570,0.887487,1988,"Dave Henderson","1958-07-21"
"119",21868,28,0.445055,1984,"Jack Fimple","1959-02-10"
"120",27808,518,0.686236,1987,"Johnny Ray","1957-03-01"
"121",18109,559,0.756302,1990,"Mickey Tettleton","1960-09-16"
"122",26027,185,0.588895,1986,"Bobby Meacham","1960-08-25"
"123",45246,74,0.80476,1982,"Pete O'Brien","1958-02-09"
"124",25410,73,0.502698,1983,"Jim Maler","1958-08-16"
"125",26986,9,0.222222,1977,"Ken Oberkfell","1956-05-04"
"126",17005,472,0.532107,1990,"Alvaro Espinoza","1962-02-19"
"127",17022,721,0.742429,1990,"Tony Fernandez","1962-06-30"
"128",22922,153,0.647239,1984,"Albert Hall","1958-03-07"
"129",18075,84,0.622807,1987,"Keith Hughes","1963-09-12"
"130",18084,489,0.854653,1987,"Candy Maldonado","1960-09-05"
"131",18087,97,0.614503,1987,"Terry McGriff","1963-09-23"
"132",18104,587,0.808577,1987,"Ryne Sandberg","1959-09-18"
"133",17178,158,0.614987,1985,"Jack Howell","1961-08-18"
"134",17103,513,0.649541,1985,"Ozzie Guillen","1964-01-20"
"135",17052,93,0.656343,1985,"Mike Gallego","1960-10-31"
"136",17049,322,0.596403,1985,"Greg Gagne","1961-11-12"
"137",17022,618,0.730497,1985,"Tony Fernandez","1962-06-30"
"138",30968,204,0.63166,1986,"Herm Winningham","1961-12-01"
"139",30359,112,0.715524,1986,"Chico Walker","1958-11-25"
"140",30042,233,0.736788,1986,"Alex Trevino","1957-08-26"
"141",29813,318,0.692986,1986,"Tim Teufel","1958-07-07"
"142",28402,221,0.7679,1986,"Bill Sample","1955-04-02"
"143",25890,30,0.519047,1989,"Bill McGuire","1964-02-14"
"144",26,511,0.724101,2007,"Mark Loretta","1971-08-14"
"145",48062,18,0.388889,2007,"Kevin Mahar","1981-06-08"
"146",48201,181,0.741601,2007,"Travis Metcalf","1982-08-17"
"147",48628,31,0.611752,2007,"Danny Putnam","1982-09-17"
"148",49076,248,0.734982,2007,"Kurt Suzuki","1983-10-04"
"149",51988,53,0.472853,2007,"Cameron Maybin","1987-04-04"
"150",52054,600,0.724537,2007,"Alex Gordon","1984-02-10"
"151",3,397,0.641848,2007,"Brad Ausmus","1969-04-14"
"152",6,668,0.896032,2007,"Lance Berkman","1976-02-10"
"153",7,555,0.665716,2007,"Craig Biggio","1965-12-14"
"154",8,370,0.685468,2007,"Geoff Blum","1973-04-26"
"155",15,259,0.706886,2007,"Morgan Ensberg","1975-08-26"
"156",15,65,0.790451,2007,"Morgan Ensberg","1975-08-26"
"157",16,236,0.599033,2007,"Adam Everett","1977-02-02"
"158",44018,145,0.472149,2014,"Dan Uggla","1980-03-11"
"159",44018,12,0.0833333,2014,"Dan Uggla","1980-03-11"
"160",44700,26,0.275385,2014,"Eli Whiteside","1979-10-22"
"161",45365,286,0.809024,2014,"Rickie Weeks","1982-09-13"
"162",45374,582,0.620035,2014,"B.J. Upton","1984-08-21"
"163",45382,204,0.581306,2014,"Joaquin Arias","1984-09-21"
"164",45387,225,0.700897,2014,"Jeff Baker","1981-06-21"
"165",45390,71,0.489104,2014,"Roger Bernadina","1984-06-12"
"166",45390,9,1.15873,2014,"Roger Bernadina","1984-06-12"
"167",45395,91,0.645679,2014,"Reid Brignac","1986-01-16"
"168",31282,146,0.559977,1988,"Paul Zuvella","1958-10-31"
"169",31056,48,0.347991,1988,"Mike Woodard","1960-03-02"
"170",30914,302,0.609658,1988,"Glenn Wilson","1958-12-22"
"171",18799,5,1.4,1979,"German Barranca","1956-10-19"
"172",1084,409,0.751342,2008,"Coco Crisp","1979-11-01"
"173",1105,294,0.701397,2008,"Victor Martinez","1978-12-23"
"174",43102,197,0.630855,2012,"Geovany Soto","1983-01-20"
"175",43648,384,0.636812,2012,"Ryan Theriot","1979-12-07"
"176",43901,122,0.562545,2012,"Matt Treanor","1976-03-03"
"177",44018,630,0.73194,2012,"Dan Uggla","1980-03-11"
"178",44075,208,0.463257,2012,"Wilson Valdez","1978-05-20"
"179",44214,57,0.495614,2012,"Gil Velazquez","1979-10-17"
"180",44700,14,0.396104,2012,"Eli Whiteside","1979-10-22"
"181",42127,429,0.735345,2007,"Carlos Ruiz","1979-01-22"
"182",41797,29,0.596059,2007,"Chris Roberson","1979-08-23"
"183",41848,33,0.516483,2007,"Oscar Robles","1976-04-09"
"184",41905,98,0.682853,2007,"Guillermo Rodriguez","1978-05-15"
"185",41541,21,0.242857,2007,"Eric Reed","1980-12-02"
"186",48486,299,0.618315,2013,"Cliff Pennington","1984-06-15"
"187",48538,12,0.583333,2013,"Chris Robinson","1984-05-12"
"188",48560,664,0.749909,2013,"Martin Prado","1983-10-27"
"189",48586,28,0.21978,2013,"Brock Peterson","1983-11-20"
"190",48772,395,0.621133,2013,"Donovan Solano","1987-12-17"
"191",24330,361,0.771271,1984,"Steve Kemp","1954-08-07"
"192",30506,189,0.557552,1984,"U.L. Washington","1953-10-27"
"193",30457,659,0.790309,1984,"Gary Ward","1953-12-06"
"194",17954,464,0.655446,1989,"Tony Pena","1957-06-04"
"195",17928,308,0.695119,1989,"Mitch Webster","1959-05-16"
"196",17905,559,0.723903,1989,"Ricky Jordan","1965-05-26"
"197",17873,6,0.9,1989,"Greg Smith","1967-04-05"
"198",16891,702,0.720929,1987,"Vince Coleman","1961-09-22"
"199",16892,241,0.673163,1988,"Darnell Coles","1962-06-02"
"200",20798,45,0.780556,1980,"Todd Cruz","1955-11-23"
"201",20798,311,0.555944,1980,"Todd Cruz","1955-11-23"
"202",20686,264,0.639269,1980,"Rod Craig","1958-01-12"
"203",20482,15,0.266666,1980,"Onix Concepcion","1957-10-05"
"204",20350,60,0.538096,1980,"Stan Cliburn","1956-12-19"
"205",20174,56,0.436364,1980,"Harry Chappas","1957-10-26"
"206",19963,51,0.178039,1980,"Joe Cannon","1953-07-13"
"207",19584,133,0.678195,1980,"Mark Brouhard","1956-05-22"
"208",19597,446,0.721355,1980,"Bobby Brown","1954-05-25"
"209",27146,2,0,1978,"Karl Pagel","1955-03-29"
"210",1129,575,0.620602,2007,"Omar Vizquel","1967-04-24"
"211",1048,8,0.75,2007,"Paul Hoover","1976-04-14"
"212",1064,4,0.5,2007,"Jason Smith","1977-07-24"
"213",1073,653,0.798045,2007,"Randy Winn","1974-06-09"
"214",1077,443,0.767852,2007,"Josh Bard","1978-03-30"
"215",1078,169,1.00448,2007,"Milton Bradley","1978-04-15"
"216",1113,702,0.816044,2007,"Brandon Phillips","1981-06-28"
"217",17946,526,0.685993,1988,"Steve Lyons","1960-06-03"
"218",17981,145,0.597222,1981,"Dave Henderson","1958-07-21"
"219",18006,41,0.741315,1981,"Tom Brunansky","1960-08-20"
"220",262,132,0.707828,2007,"Augie Ojeda","1974-12-20"
"221",221,360,0.916057,2007,"Moises Alou","1966-07-03"
"222",223,18,0.349206,2007,"Mark Bellhorn","1974-08-23"
"223",946,274,0.70128,2005,"John Mabry","1970-10-17"
"224",863,3,0.666666,2005,"Alfredo Amezaga","1978-01-16"
"225",863,4,0.25,2005,"Alfredo Amezaga","1978-01-16"
"226",851,34,0.786274,2005,"Jason Romano","1979-06-24"
"227",45433,99,0.608912,2005,"Conor Jackson","1982-05-07"
"228",45449,204,0.745,2005,"Brian McCann","1984-02-20"
"229",31471,18,0.398693,2007,"Lance Niekro","1979-01-29"
"230",31469,60,0.45,2007,"Todd Linden","1980-06-30"
"231",31469,144,0.711563,2007,"Todd Linden","1980-06-30"
"232",31447,375,0.919124,2007,"James Loney","1984-05-07"
"233",31461,233,0.670345,2007,"Terrmel Sledge","1977-03-18"
"234",31446,105,0.499586,2007,"Koyie Hill","1979-03-09"
"235",1341,31,0.485065,2005,"Calvin Pickering","1976-09-29"
"236",1342,650,0.981555,2005,"Manny Ramirez","1972-05-30"
"237",23520,513,0.573112,1982,"Glenn Hoffman","1958-07-07"
"238",1292,715,1.0309,2005,"Alex Rodriguez","1975-07-27"
"239",16949,17,0.665441,2006,"Tomas De La Rosa","1978-01-28"
"240",45453,50,0.621702,2007,"Scott Moore","1983-11-17"
"241",45454,3,2.33333,2007,"Jose Morales","1983-02-20"
"242",45457,29,0.81931,2007,"Brandon Moss","1983-09-16"
"243",45458,2,2,2007,"David Murphy","1981-10-18"
"244",45458,110,0.915799,2007,"David Murphy","1981-10-18"
"245",45461,389,0.635632,2007,"Jerry Owens","1981-02-16"
"246",45464,581,0.822516,2007,"Dustin Pedroia","1983-08-17"
"247",45470,16,0.326923,2007,"Ryan Roberts","1980-09-19"
"248",45481,49,0.598639,2007,"Ryan Sweeney","1985-02-20"
"249",45482,110,0.580707,2007,"Curtis Thigpen","1983-04-19"
"250",45489,518,0.734719,2007,"Reggie Willits","1981-05-30"
"251",45490,33,0.424242,2007,"Brandon Wood","1985-03-02"
"252",45493,681,0.723464,2007,"Delmon Young","1985-09-14"
"253",45495,105,0.390652,2007,"Ben Zobrist","1981-05-26"
"254",40963,632,0.707621,2006,"Jhonny Peralta","1982-05-28"
"255",41105,69,0.652813,2006,"Paul Phillips","1977-04-15"
"256",41386,244,0.835715,2006,"Robb Quinlan","1977-03-17"
"257",41407,51,0.803522,2006,"Josh Rabe","1978-10-15"
"258",31745,99,0.725624,2006,"Nook Logan","1979-11-28"
"259",31724,700,0.832771,2006,"Hanley Ramirez","1983-12-23"
"260",31708,36,0.592857,2006,"Laynce Nix","1980-10-30"
"261",18203,486,0.564521,1986,"Harold Reynolds","1960-11-26"
"262",18194,112,0.573397,1986,"Orlando Mercado","1961-11-07"
"263",18165,578,0.836459,1986,"Danny Tartabull","1962-10-30"
"264",18121,232,0.62275,1986,"Glenn Braggs","1962-10-17"
"265",18187,468,0.758464,1988,"Bo Jackson","1962-11-30"
"266",652,260,0.707895,2005,"Marlon Anderson","1974-01-06"
"267",655,669,0.892199,2005,"Pat Burrell","1976-10-10"
"268",19821,444,0.78163,1989,"Randy Bush","1958-10-05"
"269",27809,7,0.309524,1982,"Larry Ray","1958-03-11"
"270",27808,702,0.699614,1982,"Johnny Ray","1957-03-01"
"271",27785,51,0.413993,1982,"Jeff Ransom","1960-11-11"
"272",27774,290,0.582969,1982,"Mike Ramsey","1954-03-29"
"273",22837,105,0.444146,1979,"Brad Gulden","1956-06-10"
"274",17196,606,0.783095,1986,"Pete Incaviglia","1964-04-02"
"275",26395,136,0.634962,1983,"Kelvin Moore","1957-09-26"
"276",27568,16,0.732143,1981,"Bob Porter","1959-07-22"
"277",44075,15,0.717948,2005,"Wilson Valdez","1978-05-20"
"278",43648,14,0.445055,2005,"Ryan Theriot","1979-12-07"
"279",43901,154,0.561848,2005,"Matt Treanor","1976-03-03"
"280",43144,4,1,2005,"Ryan Spilborghs","1979-09-05"
"281",43366,424,0.729238,2005,"Cory Sullivan","1979-08-20"
"282",43553,635,0.666057,2005,"Willy Taveras","1981-12-25"
"283",1506,13,0.480769,2006,"Michael Restovich","1979-01-03"
"284",37606,542,0.782696,2006,"Kenji Johjima","1976-06-08"
"285",37894,67,0.723077,2006,"Jeff Keppinger","1980-04-21"
"286",628,520,0.775299,2005,"Ryan Klesko","1971-06-12"
"287",809,137,0.634095,2005,"Sandy Alomar Jr.","1966-06-18"
"288",838,104,0.632068,2005,"Gabe Kapler","1975-07-31"
"289",900,122,0.603803,2007,"Orlando Palmeiro","1969-01-19"
"290",849,729,0.684746,2007,"Juan Pierre","1977-08-14"
"291",863,448,0.681824,2007,"Alfredo Amezaga","1978-01-16"
"292",872,33,0.533799,2007,"Jeff DaVanon","1973-12-08"
"293",874,484,0.738882,2007,"David Eckstein","1975-01-20"
"294",884,306,0.57229,2007,"Adam Kennedy","1976-01-10"
"295",893,517,0.731046,2007,"Bengie Molina","1974-07-20"
"296",26943,11,1.27273,1989,"Tom O'Malley","1960-12-25"
"297",21667,378,0.85603,1987,"Nick Esasky","1960-02-24"
"298",115,211,0.666372,2006,"Ronnie Belliard","1975-04-07"
"299",133,608,0.898528,2006,"Bill Hall","1979-12-28"
"300",138,34,0.678977,2006,"Jose Hernandez","1969-07-14"
"301",138,132,0.678244,2006,"Jose Hernandez","1969-07-14"
"302",980,273,0.734326,2006,"Jose Cruz Jr.","1974-04-19"
"303",981,618,0.908551,2006,"Carlos Delgado","1972-06-25"
"304",994,650,0.80872,2006,"Orlando Hudson","1977-12-12"
"305",250,105,0.67619,2005,"Bobby Hill","1978-04-03"
"306",264,481,0.602317,2005,"Corey Patterson","1979-08-13"
"307",618,38,0.491729,2006,"Wiki Gonzalez","1974-05-17"
"308",628,6,1.83333,2006,"Ryan Klesko","1971-06-12"
"309",636,197,0.832232,2006,"Phil Nevin","1971-01-19"
"310",52253,136,0.571079,2010,"Chris Davis","1986-03-17"
"311",52441,218,0.513342,2010,"Adam Moore","1984-05-08"
"312",52448,661,0.879132,2010,"Evan Longoria","1985-10-07"
"313",18209,399,0.736335,1984,"Mike Scioscia","1958-11-27"
"314",22718,40,0.451471,1981,"David Green","1960-12-04"
"315",17691,390,0.656588,1990,"Henry Cotto","1961-01-05"
"316",28276,30,0.2,1988,"Wade Rowdon","1960-09-07"
"317",28384,211,0.634951,1988,"Mark Salas","1961-03-08"
"318",23829,8,0.392857,1982,"Tim Ireland","1953-03-14"
"319",17804,151,0.592332,1986,"Jeff Hamilton","1964-03-19"
"320",21958,456,0.727459,1985,"Tim Flannery","1957-09-29"
"321",20596,219,0.570169,1985,"Tim Corcoran","1953-03-19"
"322",20228,133,0.621614,1985,"John Christensen","1960-09-15"
"323",20171,159,0.425213,1985,"Kelvin Chapman","1956-06-02"
"324",18132,100,0.675374,1988,"Felix Fermin","1963-10-09"
"325",21494,37,0.285715,1984,"Scott Earl","1960-09-18"
"326",16709,335,0.593415,1987,"Wally Backman","1959-09-22"
"327",16673,406,0.857707,1987,"Mike Aldrete","1961-01-29"
"328",42393,10,0.2,2008,"Omir Santos","1981-04-29"
"329",48886,139,0.583422,2011,"Justin Sellers","1986-02-01"
"330",48892,533,0.830285,2011,"Seth Smith","1982-09-30"
"331",48901,466,0.908632,2011,"Pablo Sandoval","1986-08-11"
"332",17684,425,0.700402,1987,"Steve Balboni","1957-01-16"
"333",45374,640,0.784176,2008,"B.J. Upton","1984-08-21"
"334",45379,66,0.66617,2008,"Kendrys Morales","1983-06-20"
"335",31602,218,0.496654,2010,"Jeff Mathis","1983-03-31"
"336",31606,510,0.783677,2010,"Mike Napoli","1981-10-31"
"337",795,206,0.509385,2008,"Wily Mo Pena","1982-01-23"
"338",812,23,0.641822,2008,"Gary Bennett","1972-04-17"
"339",45459,56,0.707417,2009,"Matt Murton","1981-10-03"
"340",47162,172,0.722956,2008,"Travis Buck","1983-11-18"
"341",47180,244,0.730072,2008,"Brian Buscher","1981-04-18"
"342",40354,306,0.704881,2010,"Jayson Nix","1982-08-26"
"343",45446,697,0.896782,2008,"Nick Markakis","1983-11-17"
"344",31760,348,1.05502,2010,"Justin Morneau","1981-05-15"
"345",24637,23,0.428571,1979,"Wayne Krenchicki","1954-09-17"
"346",24685,13,0.321678,1979,"Rusty Kuntz","1955-02-04"
"347",24767,623,0.797826,1979,"Ken Landreaux","1954-12-22"
"348",18104,700,0.887346,1984,"Ryne Sandberg","1959-09-18"
"349",18071,164,0.802601,1984,"Mel Hall","1960-09-16"
"350",18067,304,0.667632,1984,"Tom Foley","1959-09-09"
"351",18063,32,0.916667,1984,"Rob Deer","1960-09-29"
"352",18019,622,0.805936,1984,"Von Hayes","1958-08-31"
"353",34729,244,0.739153,2010,"Matt Diaz","1978-03-03"
"354",34765,35,0.8,2009,"Joe Dillon","1975-08-02"
"355",13680,94,0.878513,2008,"Oscar Salazar","1978-06-27"
"356",16598,90,0.819444,2008,"Rocco Baldelli","1981-09-25"
"357",48220,25,0.368333,2008,"Casey McGehee","1982-10-12"
"358",45484,25,0.689091,2009,"Matt Tuiasosopo","1986-05-10"
"359",45489,92,0.493314,2009,"Reggie Willits","1981-05-30"
"360",57614,198,0.75007,2009,"Matt LaPorta","1985-01-08"
"361",34942,15,0.4,2009,"Shelley Duncan","1979-09-29"
"362",28162,237,0.735439,1983,"Ron Roenicke","1956-08-19"
"363",23824,131,0.68268,1983,"Dane Iorg","1950-05-11"
"364",30370,482,0.878147,1984,"Greg Walker","1959-10-06"
"365",22586,23,0.372294,1983,"Julio Gonzalez","1952-12-25"
"366",27107,5,0,1988,"Dave Owen","1958-04-25"
"367",27109,94,0.563607,1988,"Larry Owen","1955-05-31"
"368",27151,11,0.181818,1988,"Rey Palacios","1962-11-08"
"369",844,97,0.50095,2009,"Greg Norton","1972-07-06"
"370",45487,589,0.874124,2008,"Joey Votto","1983-09-10"
"371",42127,379,0.780133,2009,"Carlos Ruiz","1979-01-22"
"372",42244,26,0.197324,2009,"Jeff Salazar","1980-11-24"
"373",46150,223,0.701365,2010,"Chris Iannetta","1983-04-08"
"374",48037,654,0.932212,2009,"Adam Lind","1983-07-17"
"375",47877,19,0.269006,2009,"Tug Hulett","1983-02-28"
"376",47903,290,0.61478,2009,"Rob Johnson","1982-07-22"
"377",47952,37,0.77027,2009,"Matt Joyce","1984-08-03"
"378",47678,317,0.877744,2009,"Carlos Gonzalez","1985-10-17"
"379",47683,69,0.659977,2009,"Nick Evans","1986-01-30"
"380",47690,289,0.71875,2009,"Nick Hundley","1983-09-08"
"381",39835,331,0.770036,2010,"Miguel Montero","1983-07-09"
"382",50099,274,0.686044,2008,"Emmanuel Burriss","1985-01-17"
"383",41582,146,0.670595,2010,"Jason Repko","1980-12-27"
"384",47621,614,0.656721,2008,"Carlos Gomez","1985-12-04"
"385",47675,58,0.443681,2008,"Alberto Gonzalez","1983-04-18"
"386",48762,20,0.7,2010,"Brandon Snyder","1986-11-23"
"387",46184,228,0.722778,2010,"Paul Janish","1982-10-12"
"388",48560,651,0.809407,2010,"Martin Prado","1983-10-27"
"389",48487,577,0.632847,2010,"Nyjer Morgan","1980-07-02"
"390",204,700,1.10131,2009,"Albert Pujols","1980-01-16"
"391",48766,327,0.662167,2010,"Michael Saunders","1986-11-19"
"392",48867,3,0,2010,"Angel Sanchez","1983-09-20"
"393",874,73,0.61387,2008,"David Eckstein","1975-01-20"
"394",849,425,0.75749,2009,"Juan Pierre","1977-08-14"
"395",44700,134,0.60724,2009,"Eli Whiteside","1979-10-22"
"396",17178,533,0.718939,1989,"Jack Howell","1961-08-18"
"397",18071,553,0.704393,1988,"Mel Hall","1960-09-16"
"398",18070,332,0.646531,1988,"Rich Gedman","1959-09-26"
"399",18069,384,0.760837,1988,"Dave Gallagher","1960-09-20"
"400",18041,8,0.833333,1988,"Carlos Quintana","1965-08-26"
"401",56104,53,0.586415,2011,"Devin Mesoraco","1988-06-19"
"402",56196,347,0.85167,2011,"Lucas Duda","1986-02-03"
"403",17864,651,0.81574,1988,"Don Mattingly","1961-04-20"
"404",48901,154,0.846798,2008,"Pablo Sandoval","1986-08-11"
"405",40947,183,0.76086,2009,"Brayan Pena","1982-01-07"
"406",51441,22,0.439394,2010,"Fernando Martinez","1988-10-10"
"407",57835,51,0.584558,2011,"Tommy Field","1987-02-22"
"408",57951,204,0.655766,2011,"Josh Harrison","1987-07-08"
"409",58012,98,0.943414,2011,"Yonder Alonso","1987-04-08"
"410",58124,155,0.603331,2011,"Tony Campana","1986-05-30"
"411",58217,16,0.466346,2011,"Tim Federowicz","1987-08-05"
"412",58394,32,0.444556,2011,"Steve Lombardozzi","1988-09-20"
"413",48428,138,0.782487,2013,"Steve Pearce","1983-04-13"
"414",39405,321,0.677282,2011,"Nate McLouth","1981-10-28"
"415",39835,553,0.820009,2011,"Miguel Montero","1983-07-09"
"416",40007,575,0.909808,2011,"Michael Morse","1982-03-22"
"417",40112,100,0.555217,2011,"Donnie Murphy","1983-03-10"
"418",40216,202,0.600246,2011,"Dioner Navarro","1984-02-09"
"419",40482,91,0.645783,2011,"Trent Oeltjen","1983-02-28"
"420",40607,104,0.528846,2011,"Pete Orr","1979-06-08"
